subject,bw,thr,itd
5,50.0,59.5,0.0
5,50.0,56.83333333,0.008
5,50.0,62.66666667,0.0
5,50.0,60.0,inf
5,50.0,62.0,0.008
5,50.0,61.16666667,0.008
5,50.0,59.0,inf
5,50.0,59.16666667,0.0
5,100.0,60.0,inf
5,100.0,62.0,0.008
5,100.0,58.0,0.0
5,100.0,63.0,0.008
5,100.0,59.83333333,inf
5,100.0,61.16666667,0.0
5,100.0,60.33333333,0.008
5,100.0,61.83333333,0.0
5,100.0,59.83333333,inf
5,100.0,60.5,inf
5,100.0,60.66666667,0.008
5,100.0,59.0,0.0
5,150.0,58.33333333,inf
5,150.0,57.5,0.008
5,150.0,59.0,0.0
5,150.0,64.5,inf
5,150.0,63.5,0.008
5,150.0,64.66666667,0.0
5,150.0,62.0,inf
5,150.0,62.66666667,0.008
5,150.0,60.66666667,0.0
5,150.0,59.66666667,0.008
5,150.0,61.5,inf
5,150.0,62.0,0.0
5,25.0,55.83333333,inf
5,25.0,57.83333333,0.008
5,25.0,56.16666667,0.0
5,25.0,56.0,0.0
5,25.0,58.83333333,inf
5,25.0,58.5,0.008
5,25.0,59.0,inf
5,25.0,58.16666667,0.0
5,25.0,54.83333333,0.008
5,25.0,58.5,0.008
5,25.0,56.0,inf
5,25.0,57.66666667,0.0
5,200.0,59.33333333,0.0
5,200.0,58.33333333,inf
5,200.0,60.0,0.008
5,200.0,60.0,inf
5,200.0,63.66666667,0.0
5,200.0,62.83333333,0.008
5,200.0,64.5,inf
5,200.0,60.5,0.0
5,200.0,63.33333333,0.008
5,200.0,62.5,0.0
5,200.0,59.66666667,0.008
5,200.0,62.0,inf
6,200.0,62.66666667,0.0
6,200.0,57.66666667,inf
6,200.0,58.66666667,0.008
6,50.0,61.16666667,0.0
6,50.0,60.16666667,0.008
6,50.0,61.16666667,inf
6,25.0,60.33333333,0.008
6,25.0,60.33333333,inf
6,25.0,61.33333333,0.0
6,150.0,61.33333333,0.0
6,150.0,59.83333333,inf
6,150.0,60.66666667,0.008
6,100.0,63.0,0.0
6,100.0,60.5,0.008
6,100.0,58.16666667,inf
6,1000.0,61.66666667,0.0
6,1000.0,59.5,0.008
6,1000.0,56.5,inf
6,150.0,58.66666667,0.008
6,150.0,62.16666667,0.0
6,150.0,58.16666667,inf
6,50.0,60.83333333,0.008
6,50.0,59.0,0.0
6,50.0,58.5,inf
6,200.0,61.0,0.008
6,200.0,58.66666667,inf
6,200.0,59.0,0.0
6,25.0,61.16666667,0.008
6,25.0,56.33333333,0.0
6,25.0,61.16666667,inf
6,1000.0,56.66666667,inf
6,1000.0,58.33333333,0.008
6,1000.0,59.5,0.0
6,100.0,59.0,inf
6,100.0,60.5,0.008
6,100.0,62.5,0.0
6,200.0,59.16666667,0.008
6,200.0,57.16666667,inf
6,200.0,60.66666667,0.0
6,100.0,61.83333333,0.0
6,100.0,60.16666667,0.008
6,100.0,59.16666667,inf
6,1000.0,57.0,0.008
6,1000.0,59.83333333,0.0
6,1000.0,57.5,inf
6,25.0,58.66666667,inf
6,25.0,59.66666667,0.008
6,25.0,59.83333333,0.0
6,50.0,61.0,0.0
6,50.0,58.33333333,inf
6,50.0,60.5,0.008
6,150.0,60.16666667,0.008
6,150.0,56.83333333,inf
6,150.0,60.33333333,0.0
6,50.0,56.33333333,inf
6,50.0,58.5,0.0
6,50.0,60.66666667,0.008
6,150.0,56.33333333,inf
6,150.0,58.83333333,0.008
6,150.0,58.33333333,0.0
6,200.0,57.33333333,0.008
6,200.0,57.83333333,0.0
6,200.0,59.33333333,inf
6,1000.0,56.83333333,0.008
6,1000.0,57.83333333,0.0
6,1000.0,57.0,inf
6,25.0,59.33333333,0.0
6,25.0,57.83333333,0.008
6,25.0,58.83333333,inf
6,100.0,59.16666667,inf
6,100.0,59.0,0.0
6,100.0,60.16666667,0.008
